Fecha Emisión,Fecha Publicación,Delitos-Modalidades,Juez,Sentido del Fallo,Descripción o Criterios Judiciales,Sentencia
27/febrero/2019,05/julio/2019, ,JOSÉ HUMBERTO DE LEÓN VILLARREAL(Elabora),CONDENATORIO,CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx3wg+PvrMDvhnFmCzsiEeD/bPI4xX3SC9QW83bUEsS0ZyZS6yHI7A7EvbVM5x64AfjOUfzIMEy2A63gSbA5MbDyeX56klEvvoUbRSaXk7/io8iN1iSntMRrrgxN4vZoaoIujNECeV0XJkZSxjVFcpzJuAV1oZJyv7wTSxZmwCf7P1EcziknPzmY+BwK6HcVdgM=
26/febrero/2019,05/julio/2019, ,RICARDO BECERRA BARRAZA(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA  MORAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx0Eumx/IYUAI8RlufWbRKPY6Dqiv5/OIfSGJnpBK97wbBS2NgA3n7jpAIef6Hxn2P2m9GDqZGwfoPH1m3+yWTwOK6n5zzZLvtRkPnXqBXd1j38WxLvftMCngWOYSd+Xs8cAA+Wh87dZTctKhoKv7z4dXlTj3iOLyOnsBasmj0JOM8ngWlAK02fywBuhCbRzs9w=
26/febrero/2019,05/julio/2019, ,IRMA MORALES MEDINA(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx2yWrTyQmwSjKHzUT+NU+pRlAWZ+u4eGyxyMjx8T9qT0n+DUesXlF4k5T1eNxqk9+dR7N04vv5/wupMdb4AYQHYOKpqlUoxybkYZ4QDcLwUEyas5B65bLE8b/hiMZgjZU5np/PpZdeRvV3bOtIje70uok6Nfs17cLZW2bxUFUVVM59LBMe98nWcYscDqQljfm0=
26/febrero/2019,06/julio/2019, ,LAURA JANETH VERDÍN BRENIST(Elabora),CONDENATORIO,CONTRA LA SALUD EN MODALIDAD DE NARCOMENUDEO,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx14QfZtde3zUu1ZPxLL9xXTaBrQIIaaiWPE/yAeiF8bF8cgSxfZtZuVdCiO3k3FeJLMmvzAc4TrdsNThwSoHbkUdfapfXVskqu+GE2BHzlqjBI3zOlq8fr6Kt5DIPiJmHSmAMjR2JwKHgR5gBKov1chcZtkDQclE+WvByE4hBUpDYtXH3dnPV2zlML1cuAad3U=
21/febrero/2019,05/julio/2019, ,BÁRBARA MELISSA GÓMEZ ÁVILA(Elabora),CONDENATORIO,ROBO  CALIFICADO EJECUTADO CON VIOLENCIA FÍSICA Y MORAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx1DeH4WO5OfHF/ZK8BRvg5zdpUnSP9bUhBMgE7ym2fR49abKKl1qrwUlgRCv/96+naz9md2Mnk4PbzJwBdI5ryaEzcNFDla70ODIqsu/GjALXvAkWCDo+xC0M5Z1DWb7qioQg/48WQftgx45KbFccd2owoclpfSZfOEdBiWC2R6izZgIObAdqVMM7Ap9d4p+qg=
21/febrero/2019,05/julio/2019, ,JOSÉ HUMBERTO DE LEÓN VILLARREAL(Elabora),CONDENATORIO,HOMICIDIO CALIFICADO EN GRADO DE TENTATIVA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx3XfrGb8u55OCJoYMATBLC93HT2Eoug1oS9+sV6GpZmcDm4BXc1u2Jz5C2cLrzbMBM2l+h7435GWk/7p+OYBF7wb+lhYJy+G8pHlplXM5PJoKcXi3GwdyTpkh1bsyQg8ZF0WbPgo8/JazgcMOdPNZgXX33X9p4oqMbYkLgWq5ej85u7NzDl7O8ZInjU1JOOXv4=
21/febrero/2019,06/julio/2019, ,BÁRBARA MELISSA GÓMEZ ÁVILA(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA FÍSICA Y MORAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx2PAL/K2hnSPSnq+NKUPVxdL1BS0Iuel0aNu/8trokt51hcegzdwnI7ki+KKl+/CrmNrXfWx35ElSEzHE4ooFGOCWoEF9mTcB0G7NHaL8Jt4LTl3qSUBs5wACwesJ+WBQ9OpjlsX1nO4ZxJbgsd2Kvv5MCH6SSd8vn1dld39wdllpXlBb8FO1zi36ufzXb6xZw=
20/febrero/2019,06/julio/2019, ,MARCIA MONTSE IBARRA AZUETA(Elabora),CONDENATORIO,CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO EN SU VARIANTE DE POSESIÓN DE MARIHUANA CON FINES DE COMERCIO EN SU HIPÓTESIS DE VENTA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx2dAc4hwQYU3brtK72z/1QLVWY01WdT+pPlwzSNE0IBRm2TCTpX2uUnODHPFvWgrG3iv4LltlluvHdkKD5FMB5uXZh7oaEB9yQSw8aaATigK7aK+MrM9wPUt4eVwmsdUFhFmZAqImBLbrzIPDrA2MJlJudz3obUN0vKNNpL3e0jCdBluWeEXTJyjPvRMNG1vZw=
20/febrero/2019,06/julio/2019, ,MARCIA MONTSE IBARRA AZUETA(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA FÍSICA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx2dX99FLf2b8sTRBKZh+veNiEqoyC8WArXggcaAeRpOEFHJ66s2u72xsBa93Gy+njZ6p2ggNDFDaN1D9199uclw+obgHNuUqiv1zunfvFDftPkokPlflEUH8gMBlQRSBoTXb8Cu+4R0yocQqQ2BrSoTPDf7jiDX8Bfu8tETvyN96ZN8XIDNXGbRb4XzYk7xYBQ=
20/febrero/2019,06/julio/2019, ,MARCIA MONTSE IBARRA AZUETA(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA FÍSICA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx04lviCqbPLdejq9+5Oaq40EV3sJ/daHARtBO1PCSwCvzpB2lNoreSNnfqrB8GFvFOmjJK+fDX1nvFecoGx8oBo2KJqKmz7aWK0KDUwSOMXKvWSVNksS5gwKGQ4wadlnLfKL9DchC4DcpCuXzve8pmHaNFDktD0qfYf5Eec5LnXPlyVP5b+oC4DYsax4V2ycGY=
20/febrero/2019,05/julio/2019, ,CARLOS ALBERTO SALAS GONZÁLEZ(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA MORAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx0Q8Lt4is1Yhv8ci9Rv5YpeWN+V+7I4VUS+DvFvO+TZ1ocYMZ8FFazALWpB+GQWVTs5rX62IBtbk0ftYvdGsMvGK/0ruK7LbR5jLE3zPwkSnUR/zM7z3VBFosQNMOjgBuOuNKPYWRevkNkUV8yOqmhWRyPa7VCOcaDTsbpXaVntvwjc9H2qz6qC07GPb+omH3U=
20/febrero/2019,05/julio/2019, ,LUIS ANDRÉS MOYA GONZÁLEZ(Elabora),CONDENATORIO,EQUIPARABLE A LA VIOLACIÓN,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx1VgvBqnGfsyHY+/LDL/4braLKVpM8do9p669q17jt0Q82sDCYVOMixEC/YMJn08kb4pdgGNtqwF5qvMWTtYoltvVmx0zGuxYgmZDZN0glZaHQRs9bGL/2wtixFKzyoWBTiNI/dn2OeCe8WI37HZIRhnulxMz3DKmjhV+sbF8u7aLTWN2/9TvkeC39wxwmN6mg=
19/febrero/2019,05/julio/2019, ,BÁRBARA MELISSA GÓMEZ ÁVILA(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA FÍSICA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx0VX0iiumauFHLSMb7MG98971ynm/idc48S3ih1gSmYXoXFDF+BJrn7bAuNSTWuedY81tV4mvEV1sV5zUcnf/S6G7K4Rz3rZQ7vATS6W7QmFfOGB4ijHmaE5g+QF6b7gZGpYndhlyqRHwZwjVCv03GQxkok2aDLJodJ0+c1s48nn/W4D/e8ox5NalD0Mbapl3E=
19/febrero/2019,06/julio/2019, ,BÁRBARA MELISSA GÓMEZ ÁVILA(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA FÍSICA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx0+S91qSh4yEAp7vVU26bYI96sEJtDNOD5V3zj+uzxAhmaCzfF4G4uyszrgyVRJTMaHSCs8RvJ8FvNuztXCcnaT/BY7p5ZDCFe9XBVXOtqr27Br6fkplT9ZZKssJQjtuzl/4MV5D7MjjWV+nA0DviWnPvwweE8L2NDpwfHG+KXGoYt970KGHCdgg11q5EGjXOc=
19/febrero/2019,06/julio/2019, ,LUIS ANDRÉS MOYA GONZÁLEZ(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA FISICA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx05/bwYRs+QhSj45UDIBGvr9D2NTdDBpOClNV2rQbaA6P9tu/4gAd9zm9b2HjGGMSlXYLFUkL2qounxkN/X5w+79BWsXh8AcGdoPBRmIJUIQ5M3YRQyrhZB0P1rBcPnzmBGpFC4XAbix+GqxDghycV1ZCUYo6s/LOUygVqwrtlpuUz5n5kf1RCBsz8lb45YgWQ=
19/febrero/2019,06/julio/2019, ,BERTHA YADIRA BACA SAUCEDO(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA MORAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx1oure2LK7tPh7bAtCh7ikCFlbDuhRjQwdE+U7o1qlld1lYNacdpfWjfhWMGb1XHlJ7F6Y+adPK3+z/zy+arJolC6nh+mst/sgeDSbkrHdTWsdF+fBk/VOVFxidLIR7WucyknwUlEqnVrWV+/eMXIyYhd6K5uEjnDdo4K+DgfLF0Zb2sw+hazFjbSjI2lRajME=
19/febrero/2019,06/julio/2019, ,RICARDO BECERRA BARRAZA(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA FÍSICA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx1hwK5WB5PL8JwbZzKSkebLQkPyd/+hLHB5Z8JNoUOK3fzbcd9Bt1k4k+zB6CboTFX29fxZ1Z9coI0Rl2YKCYv+TvurvYsF0YXOooKqsObkbddOCsEWYbPSHV875neCy04vPf093q+e0BPkkjHT7vSAOJwS08gI+CIw5cuA/o6jNThiaj2piQd6GdMU+y5q2Cw=
18/febrero/2019,05/julio/2019, ,JESÚS GERARDO MENDOZA GONZÁLEZ(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA MORAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx15dGTDkSq/DSfgqMIvXkiwCNMAsmlhVQbo7i1iLRDnG1LTT66ItZlNZakFYu2iBEtPFb/+7jcsRX+D/g6kgE1orcgfFr7Q4TrjtQyN3e5M/4cH2halXojD9LHhYVPvMX1U2WbVtrQNGbOVnFRPCjLdUjU2OS98SsOr8lqDrpEA7ob3TKS/FRws5X9DynqbEw0=
18/febrero/2019,06/julio/2019, ,MARCIA MONTSE IBARRA AZUETA(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA MORAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx30YE59n0rbDjiSUP47Ie3Um5P0mCcEnlPlYaP3TGORFpedk7+ywhpKXcZrl91vchDbEHib27TXCDFj9gDsCZN/nwFp5f+6lDbThqft19kIVLcznGOV+4Kegqk7XtMRYQHtnly7JfFr26ZYNKOjuPHg8JK2L5mFN6vceeT+IKuKr/bPjQIq1bDKE5d0OLq0gMg=
18/febrero/2019,05/julio/2019, ,LAURA JANETH VERDÍN BRENIST(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA  MORAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx03O+rT6alVB2iAdS3RiGhxbW5lXjc3pHjBRE/C/2pFJFimbDYQmTT7sPXLk+QrZKYp3tnheYm0oIIQMQq9XYzMvGGPxkx+K3YJzBqtKzDud1o7tICItQUfsYDOQXpSTaQi/Ub83VLABq2VqYoZTHLhXKcX8HZRVdFb5AYE6mtS44bkHOO0Akwt6PyAjuI+Qn4=
18/febrero/2019,05/julio/2019, ,ADALBERTO TREJO MORALES(Elabora),CONDENATORIO,VIOLENCIA FAMILIAR Y LESIONES,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx2VRchKXXT0D//xbURuwqaeOTCjnQIgP9srvynTLyzuKDSH7UBP2GICgdw5ZNdX4hG8F0TrLA3gy7Hlhh2TbcbUItc8j3B/g7DPs3RFliC0VWL0W7wZBXCWDNUiS00jnjDN7WJSgu6IW5vu7LTqEYY+3RvLPl0FMukV+B8nia0AXT35u+mi/qnOavL+k/G6ypo=
17/febrero/2019,06/julio/2019, ,BÁRBARA MELISSA GÓMEZ ÁVILA(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA MORAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx0NcXn+Sb6BWZjjdaI7X95koNP2pfxE81ZK/qYp/LQUBgkqneUO8b5XzsOuafamrnjRrNSlXFbpr9iuLzRwyBq77jyFRUJx4gLy8ogegDkswtbiENmkGrgooC5t5koD02ekNQgALCkkAPpjB3Hbpb0guqyeBYaXP9fjPZV4OZN/odHJ+QJTzeRivFRPvmegXmg=
17/febrero/2019,06/julio/2019, ,BÁRBARA MELISSA GÓMEZ ÁVILA(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA MORAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx1BVWjDNJeGPSAR8GRXt04XqL/jOZDqYom4lKu8gi6SnGBJYNKEOh27IHid+P9gKPV35bRVIUpbY3QwU4UyXy8p2yAJprJR0cgxFDGxOdpqVcb+olRWwAE+8jyWgAigqC7K/6a6Vo2SYqv6OZRF9lvl33cQLGxSpNmiIsp73ZIHDOsF3dnfR6onf/6n7LzzUfo=
15/febrero/2019,06/julio/2019, ,MANUEL HERNÁNDEZ CERVANTES(Elabora),CONDENATORIO,ATENTADOS AL PUDOR,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx1xHVldWavU151ym3/dxZbgutDM5vi+RXvsnFAGXCQXfzBqdPVhygt42rY9HxOQN5tPUPffnSizX/y0+lI8OTPNjC3SUjHH0ODib3YgxmuiuCOWN61x2ucuOyPQz88UvLDsqMUcQQeiUeSbQhiSFZDUVQj7nBc5Olc1N0Ljna04/TiuILRd2BGrAMgcTig0Nzw=
15/febrero/2019,05/julio/2019, ,MANUEL HERNÁNDEZ CERVANTES(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA FÍSICA Y MORAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx2QlckTB6EwHyliwedJNJajvQTOxl16zsu3vFyvMasBeDquJCWVpg5jn2lJ3CTgm67QdqRYU/aaaK5PHdOGdw18uVsBQ0S2/QP8xz8/rZBVGGKNrPYQKRi8AE1HfXB6IcGxQKTWvP6Bw3GutnXriouYc2sP4PEz6Z1A4GT3te1JEtyaH4ClLSk4U/a0e//iU2I=
15/febrero/2019,06/julio/2019, ,MANUEL HERNÁNDEZ CERVANTES(Elabora),CONDENATORIO,CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO EN SU VARIANTE DE POSESIÓN DE COCAÍNA CON FINES DE COMERCIO EN SU HIPÓTESIS DE VENTA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx1cM5yeyrxq2q4aDSv9Uu62WSI7FQ3958CyAWNhNqljS63jRn0jvNoYQ0oq3R5JF2RPfBgyC/Cm5IIq1Qs40ry0PSec9zsZktZZYNTePrGiMSqe2uNYu6BH7mb0afdTTbEk7cuMIc1GKzPFV23akMTEokDYylPO1i53hsHuXA+4/bI54c7GLRAnzffBQFSGQXg=
15/febrero/2019,05/julio/2019, ,MARCIA MONTSE IBARRA AZUETA(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA MORAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx0SQ5fjVHlIxPWYg+VjRxPrPlp1SZ24YuMPNjLsMpBokCngX90wgIfoV/CNi7K4DMG02OtIf8u3tF/ddIKpCC3t8o1ahVrHM2dok6p/yjt1xsd7l3Cv1W9C5IPIRSP+mv5C+AAKcetlSoqP9FgFYk1WaSOFBwmhaoKKhkrv1R5QRaqfrENzCIzmDHGP6hIx7T8=
15/febrero/2019,06/julio/2019, ,MANUEL HERNÁNDEZ CERVANTES(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx16E9FsLePOEhuhcbPQB4NjkwshVrFaUQnLeNfKVNw8o9nela43r518d6UJTK+EK2HSOVMfv8639AUzzrcOYwbwzIXQY4jqAKoDerzhcW1xip5k3n78C3mR0OJlRa7XcBsEauMMi55KqzaH4fS/nXCaT8KZZROSjAiuNA83MDu03RGmvlWCSuQMzDgGNEaSb24=
15/febrero/2019,06/julio/2019, ,PATRICIA ALEJANDRA GUTIÉRREZ RAMÍREZ(Elabora),CONDENATORIO,CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx39p8X06mbzX1IyZhLO6cEMEsv7B6jlyezdqbjPlV6J1psezWhKYf2Z4P1RhdBMYiBL43xC5dL/1keJrtCpXJe2VlhFsft6wJom28ZbojkXqGmfspPDkuKQAP2h59E/MI5K0PyZZCy9ceTjhzrlhXim6Ft4/yLJIDuaMpDJqHKiCgE2uhOoGU1J+wvUNtLTFec=
14/febrero/2019,05/julio/2019, ,MARCIA MONTSE IBARRA AZUETA(Elabora),CONDENATORIO,"CONTRA LA SALUD, EN SU MODALIDAD DE NARCOMENUDEO, EN SU VARIANTE DE POSESIÓN DE SIMPLE DE COCAÍNA, EQUIPARABLE AL ROBO",https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx2bx/euPA8UzbryrbGcwH6hVAwA5957Jz0+RKfIivzr8IbODgK2DDwMrzXlay6csGrZhaIsgHpXjTQW7Sg8IpH64yLMC0eiTDSTYYb9SI1JtHfHl4xImL81tW8cnS9IzpTGNBtWhWL/UEdUjRLoiVz+9M5cHwlPL+9sEUSHqLlQeREQmoWG+y7aPzOQHWkdrKA=
14/febrero/2019,06/julio/2019, ,MIGUEL HUGO VÁZQUEZ HERNÁNDEZ(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA Y AGRUPACIÓN DELICTUOSA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx0QqX79CKuJHz4D53wFRD/U8JTOK/4XHeteAwJcC43W6blQmwLbrJk1LOY5EhPA5lfPjn79+rXNPOoKpht3AbjhE009zJJidKsvZysYBXgFylqy4KLRbgMS3yag9NHu90XXycHgoGMp1aSqdq+ruzQMKxtKBTy84fcPL850W6E2DGDUcA+4ZOBpmAg54tpfX8U=
14/febrero/2019,06/julio/2019, ,MIGUEL HUGO VÁZQUEZ HERNÁNDEZ(Elabora),CONDENATORIO,"PRIVACIÓN ILEGAL DE LA LIBERTAD ; CHANTAJE ; EQUIPARABLE AL ROBO , CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO EN SU VARIANTE DE POSESIÓN SIMPLE DE COCAÍNA Y METANFETAMINA",https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx0bawq/cMGgKQsufNHAOpyZSOgGx83tb386bNv584OtyUNZ9nPuKQwdqOY+qT779q/8TJbsd8GNb2Nb/wMVWbTWYRA5mUsp4q0zfFo+QSST8K8zv3inLgwHgciwXRx2mvBp91alkcgSHCTeTGalLPaDsOp+Sjw72X+zrbNwZNpRhIERbkp9+v6UtkqAg3R6up0=
14/febrero/2019,05/julio/2019, ,JORGE ANTONIO HERNÁNDEZ TORRES(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA MORAL Y DESOBEDIENCIA Y RESISTENCIA DE PARTICULARES,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx0YTXF3smr256y3b3w2NCToPVWDJOpuwmz3g11JqMjQGfsTD4dFQqravuJDmmeRceJHHu5ekJ4I3nm5otCKS3lNPqq20U073ku2jv8q0hJCjt1kiizt9e1iGS3jJUC/3g0x9+OAVA97zvtCagpya7W0m53HDVAhORKEZoL/U68Ex5MSUi+6xG1Cp4/2e+8DXX8=
14/febrero/2019,06/julio/2019, ,MARÍA DEL ROCÍO ALANÍS GUERRERO(Elabora),CONDENATORIO,EVASIÓN DE PRESOS,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx0GpnaEganNuXyTIwpLiUg+hOAMGHqf86nS2QrpE6RvVzTdUPrbC8Ha3Px8A2Y/FX2kAxQ5jU16iruZG1vTvWxqCJnrAFE2ibjauC+arOauY74qRirtXlqwYJSdEMWR3ZU/cCknwFh7OpByVmrg8urwRcKQUKQ5PXRN07aaYm5BbIAp5hgZlp2lTC2gUUKT3X0=
14/febrero/2019,06/julio/2019, ,LUIS ANDRÉS MOYA GONZÁLEZ(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA FÍSICA Y MORAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx0THcSWETHWulQsdtYYVPIj280i+0jkDediW7xKZYHLOSVKLy68065AEpfb0mnaXGy+fVzg41xfa6t8qv9o8JKLFyXarbaXqSLEVM/phw06W2cZ3eMQm2crU1B2Hftr3GyDgyyjo7PE9C+uFK/t2qETC9yur3F5RHldd+lZdeoJZ09Cyymvw4MUdWOB5rGotyc=
13/febrero/2019,05/julio/2019, ,JESÚS GERARDO MENDOZA GONZÁLEZ(Elabora),CONDENATORIO,ROBO,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx25vz0/yPvBeP3vUJyvfHgdlIlAn1vSD9RVBPmOcmzm+fTOwdGIGDMhgbuXgSSK0hmTwA8m2KeYLTCBS/kdpl9oW9/edJl25Hk6JhjZAIwomKOWOOTY6/GkDj8pQ+ryDUNYqxU0ds6UaZfLOCw+YbjPxNhDHDKeTdQI87J5KxTxZTjgtgi4J+6+O23XmtHJ9Lc=
13/febrero/2019,05/julio/2019, ,MARCIA MONTSE IBARRA AZUETA(Elabora),CONDENATORIO,ROBO,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx0CX+TU3ulOeuEMq7QySDkrvgqyGsq3K+I1ohFVhG+jhpHkaLENnNG/aN73ceEyi70ANrD+ImuLKLb1QM83pkYQEdgCtuXjmQknNpHqTnifgAk7EMUU2viMQpF8caCPbnZCRA3EYlrzNoqkNO80dEXmJ8r3dSQXYPZUAZFaFAsdsAlJhDUaTf00b6OV9LAMtGs=
13/febrero/2019,05/julio/2019, ,MANUEL HERNÁNDEZ CERVANTES(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA MORAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx3xN1y2ysDel+uBlYBwc9eNbIBlGpW29NbzrNNCp+WHBs+ycUx/slmcHO+ZwXHHu3dsfV4X682owqOJDaoV7sf3bSwPlcasARRkKGCcLA2f9DMqkmPNfroxWreH63T16Yn5fk3u6aTGKsK96LGIgcD+PXjHHwoz4ulESZGBp3D0ETIY6Svhf9ekAbYd9k0dOG0=
